message_id,date,text
129507,2025-12-28T14:30:36+00:00,"تنها کسی که تو مملکت داره کارش رو خوب انجام میده چسب زن الویه نامینو!
داداش یکم شل بگیر باز نمیشه این
^mahdi^
@sut_tw"
129512,2025-12-28T15:05:28+00:00,"اولین سالی که بابانوئل برای بچه‌های ما چیزی آورد، فکر می‌کنید واکنش دخترم چی بود؟
صبح بیدار شد و هدیه‌ش رو پای درخت دید، با نگرانی برگشت گفت وای مامان سنتا از کجا اومده تو؟ نکنه آقا دزده هم از همونجا بتونه بیاد:|
ذهن بچه‌م کاملا ایرانی بود!
^خانوم اف ام^
@sut_tw"
129513,2025-12-28T15:13:07+00:00,"داشتم گالریمو مرتب می‌کردم عکس بچگی این تخم سگو دیدم که یه روز رندوم تصمیم گرفت دیگه نیاد پیشم 
😭
😭
خامه اگه این توییتو می‌بینی برگرد میوزاده 
^⁦☆^
@sut_tw"
129514,2025-12-28T15:20:29+00:00,"دم رفتن بهم گفت «اصن حواست بود کجاها امن بودم؟ کجاها ادب کردم و چیزی نگفتم. کجاها می‌تونستم ناراحتت کنم و نکردم. کجاها می‌تونستم به‌روت بیارم اما نیاوردم»؟ با خنده گفتم «میشه یه‌دوتا مثال بزنی؟»… یه‌ذره زل زد بهم و بعدش آروم گفت: «مثالاشو بعدا بقیه برات می‌زنن».
#داستان_آدم‌ها
^اورج جورول^
@sut_tw"
129516,2025-12-28T15:30:36+00:00,"تو خیابون ما ۲۰ ساله یه ساندویچی هست، صاحبش خانومه، کتلت لاهیجان میده، پیرمرد پیرزنا بهش سفارش میدن ساندویچ مرغ و برگر سالم هم میزنه
بری داخل چای دم کرده باشه برات میریزه
با بچه کوچیک بری، اول یه لقمه میگیره به بچه میده تا سفارشت آماده بشه
خیلی باعشق و باحاله
😍
^شیرینی مربایی^
@sut_tw"
129517,2025-12-28T15:37:20+00:00,"📚
 
هفدهمین جشنواره بین‌المللی پژوهش و نوآوری در مدیریت شهری
⏱️
 مهلت ارسال آثار: تا ۱۵ دی ماه ۱۴۰۴
🔹
 اختتامیه جشنواره: فروردین ۱۴۰۵
🔸
فرصت حضور و دریافت غرفه نمایشگاهی برای شرکت‌ها و فعالان حوزه مدیریت شهری
🔗
 کسب اطلاعات بیشتر: 
TUFIran.com
🆔
 مرکز مطالعات و برنامه‌ریزی شهر تهران | 
@RPCtehran"
129523,2025-12-28T16:13:05+00:00,"من نه به پولدارا حسودیم میشه، نه به مهاجرت کرده ها، نه به باهوشا و .....
من دیگه فقط و فقط به مرده ها حسودیم میشه.
^رااافائل^
@sut_tw"
129532,2025-12-28T16:50:33+00:00,"نمیشه دوباره بهم حقوق بدین؟ اینی که دادین تموم شد 
^kiddo^
@sut_tw"
129533,2025-12-28T16:55:29+00:00,"دوستان خیلی ساده بگم سرطان داره بیداد میکنه. شل کنید و استرس رو کنار بزارید. به شکل هنرمندانه با هرچی که هست زندگی کنید تا وقت هست. این جملات زرد نیستن خود واقعیتن!
^Smile^
@sut_tw"
129534,2025-12-28T17:01:30+00:00,"تا حالا انقدر تحت فشار بودی که توو خیابون راه بری گریه کنی؟
-Paniz-
@sut_tw"
129537,2025-12-28T17:15:32+00:00,"بالاخره میم هایی که از اینجا سیو کردم یه جا بدردم خورد. 
-مُهَندِسِ مَمْلِکَت-
@sut_tw"
129541,2025-12-28T17:36:33+00:00,"اونایی که می‌گن وقتی اینجوری می‌شه یعنی هاید شدی، علیرضا قربانی چرا باید منو هاید کنه؟ 
^ساقی^
@sut_tw"
129543,2025-12-28T17:45:28+00:00,"تراپی شده جلسه ای ۲ میلیون، من از وقتی ۱۰۰ تومن بود روانیم.
^𝐃𝐨𝐫𝐢^
@sut_tw"
129548,2025-12-28T18:16:33+00:00,"دنت از پیش ما رفت،
رفت پیش این عربا اسمشم گذاشت دانیت
😭
^T 
🌷
^
@sut_tw"
129560,2025-12-28T19:21:31+00:00,"یک مسئله‌ای که آخر هفته‌ها دارم اینه که هیچکس رو ندارم باهاش بیرون برم. بعضی وقت‌ها می‌گیرم می‌خوابم تا فقط تعطیلاتم بگذره و بعضی وقت‌ها هم می‌رم ببرون تنها قدم می‌زنم.
هیچوقت فکر نمی‌کردم در ابتدای جوانی به بحران دوستیابی بخورم.
^سونور^
@sut_tw"
129562,2025-12-28T19:29:02+00:00,"🔵
 
موسسه «حامی علوم انسانی» با همکاری والکس و انجمن فلسفه علم دانشگاه صنعتی شریف
 برگزار می‌کند:
💎
 همايش «نظم مهندسی، فهم انسانی»
پنجمین همایش معرفی رشته‌های علوم انسانی و اجتماعی برای دانشجویان کارشناسی رشته‌های علوم پایه، فنی مهندسی و پزشکی
 
🍔
در این همایش، سخنرانان از مسائل واقعی و میان‌رشته‌ای شروع می‌کنند؛ همان جایی که سوال‌ها در مرزِ مهندسی و علوم پایه با علوم انسانی شکل می‌گیرند. وقتی با موضوعاتی مثل فناوری، داده، سیاست‌گذاری، سلامت، عدالت، آموزش، یا آینده شغل‌ها روبرو می‌شوید، می‌بینید علوم انسانی فقط «حاشیه» نیست؛ بخشی از خودِ پاسخ است و روش فهم و تصمیم‌گیری به ما می‌دهد.
👤
سخنرانان
🔽
چرا علوم انسانی: روح‌اله هنرور، دانشکده مدیریت و اقتصاد دانشگاه صنعتی شریف، فارغ‌التحصیل سیستم‌های اطلاعاتی از مدرسه اقتصاد و علوم سیاسی لندن
🔽
فلسفه: حامد طباطبایی، کالج سلطنتی لندن، فارغ‌التحصیل فلسفه علم دانشگاه کمبریج
🔽
اقتصاد: فرشاد فاطمی، دانشکده مدیریت و اقتصاد دانشگاه صنعتی شریف، فارغ‌التحصیل اقتصاد کالج دانشگاهی لندن
🔽
روان‌شناسی: مهدی نساجی، موسسه فارادی دانشگاه کمبریج و دانشگاه شهید بهشتی، فارغ‌التحصیل دانشگاه هال انگلستان
🔽
مطالعات دین: محمد قندهاری، پژوهشگر مستقل، هم‌بنیان‌گذار سنجمان و انعکاس
🔽
جامعه‌شناسی: کوشا گرجی‌صفت، دانشگاه تهران، فارغ‌التحصیل جامعه‌شناسی دانشگاه کمبریج
🔽
حقوق: امیرحسین صالحی، دانشجوی دکتری حقوق هوش مصنوعی دانشگاه آکسفورد
🔽
تاریخ علم: امیرمحمد گمینی، پژوهشکده تاریخ علم دانشگاه تهران
🔽
انسان‌شناسی: سعیده سعیدی، موسسه مطالعات فرهنگی و اجتماعی، فارغ‌التحصیل دانشگاه برمن آلمان
🔽
پژوهش هنر: پریسا حکیم‌جوادی پژوهشگر مستقل، دکتری پژوهش هنر دانشگاه تهران، کارشناسی ارشد مکانیک دانشگاه کالیفرنیا(تجربه مهاجرت از مکانیک به هنر)
💳
نشست جمع‌بندی
🔽
امینه محمودزاده، دانشگاه صنعتی شریف، فارغ‌التحصیل اقتصاد دانشگاه شریف و کمبریج
🔽
مسعود شادنام، دانشگاه صنعتی شریف، فارغ‌التحصیل مدیریت دانشگاه سایمون فریزر کانادا
👤
مجری و تسهیل‌گر: امیرحسن موسوی، دکتری فلسفه علم پژوهشگاه علوم انسانی
📊
پنجشنبه
 ۱۱ دی‌ماه، از ساعت ۸:۳۰ تا ۱۶
📍
تهران، خیابان آزادی، دانشگاه صنعتی شریف، دانشکده مهندسی کامپیوتر، سالن ربیعی
🌐
لينک ثبت‌نام:
https://evnd.co/72v97
 
📼
 
یوتوب
|
سایت
|
لینکدین"
129458,2025-12-28T07:44:09+00:00,"توی گوشی بابام ""صادقی لوله کش"" رو دیدم که دیروز سه بار میانگین 25 دقیقه باهاش صحبت کرده.
در حالی که لوله های خونه سالمن. 
^Ehsan^
@sut_tw"
129460,2025-12-28T07:59:05+00:00,"پسرداييم براي اولين بار اومده ايران
 ديشب نصف نون سنگكك رو خالي خالي خورد :))))
^بينل^
@sut_tw"
129461,2025-12-28T08:05:25+00:00,"يه نوزاد چهار پنج ماهه تو رستوران بود داشتم براش شكلك درمياوردم، مامانش گفت ببخشيد ميشه زبون درنياريد ياد ميگيره بى ادبيو 
☹️
^Certified Lover Girl^
@sut_tw"
129462,2025-12-28T08:12:05+00:00,"اگه بخوام حجم دراما کویین بودن خانوادگیمونو توضیح بدم باید بگم که مامان بزرگم به خواهرم چون چیز میز میبافه گفته میشه برام لیف ببافی؟ بعد که خواهرم بافته گفته عهه چه قشنگ!! بیاین ببرین بذارین تو کمد برا روز کفنم منو باهاش بشورن:)) خواهرمم نشسته گریه کرده:)))
^She and her darkness^
@sut_tw"
129464,2025-12-28T08:27:04+00:00,"خندم گرفت استاد ویس گذاشته تو گروه چرا تکالیفتون رو حجم ۱ گیگ ۲ گیگ میفرستید با این حال من باز میکنم و تصحیح میکنم
😂
😂
😂
چه حرکت خلاقانه ای زده بودن اما نشد دیگه
-Asal Etaati-
@sut_tw"
129466,2025-12-28T08:37:11+00:00,"Chemistree
🎄
 
^Curiosity^
@sut_tw"
129469,2025-12-28T08:58:04+00:00,"یه بار یکی از همکارام منو کشید کنار.
گفت: نباید اون حرف رو بهت می‌زدم. ببخشید.
بهش گفتم:
زندگی کوتاه‌تر از اینه که ذهنم رو درگیر حرف‌هایی کنم که فردا اثری ندارن. اصلاً یادم نیست چی گفتی.
(یادم بود. دو روز کامل بهش فکر کرده بودم)
^PEMIDI^
@sut_tw"
129470,2025-12-28T09:06:27+00:00,"خوش به حالتون اگه پدر مادرتون جوری هستن که میتونید الگوی زندگی تون قرارشون بدید. من کاملا فری استایل دارم میرم جلو
^شیمبله^
@sut_tw"
129471,2025-12-28T09:12:05+00:00,"ناهار رفتیم خونه مامان و بابام، دو تا خواهرهام بدون همسرهاشون و منم تنها، مامانم ماهی درست کرده بود و به یاد قدیم‌ها ۵ تایی ناهار خوردیم و معاشرت کردیم.
این مدل جمع شدن بعد از رفتن از خونه خیلی نادره و به نظرم تجربه‌ش خیلی متفاوت، نوستالژی و باحاله.
^MO^
@sut_tw"
129474,2025-12-28T09:30:41+00:00,"بالاخره نوشهر رو کشیدم.
شهری که همه چیز برای من از اونجا شروع شد. 
-nasim bahari-
@sut_tw"
129475,2025-12-28T09:37:04+00:00,"‌
تف تو ذات اون آدم بی ذاتی که میدونه نمیخواد بمونه ها، ولی میاد یکیو وابسته خودش میکنه  
ذوق شو کور میکنه
علاقه شو میگیره
احساس شو نابود میکنه
بعد یه عن دیگه رو جایگزین میکنه و بدون هیچ توضیحی میزاره میره
-𝑨𝑳𝑰-
@sut_tw"
129479,2025-12-28T10:06:25+00:00,"آقا پسر ،رفيق مارو بلاگر واتساپ كردي جون مادرت ريپلاي كن
^Mobi
💅🏻
^
@sut_tw"
129480,2025-12-28T10:13:04+00:00,"مامانم چندساله یه بازی میکنه به اسم گلمراد،
الان مرحله ۶۲۶۳ اس:) لیترالی مامانم پشت سر تولید کننده این بازیه. هر دفعه باید ۲۰ روز ۲۰ روز باید منتظر آپدیت جدیدش باشه:)
^Nichts^
@sut_tw"
129481,2025-12-28T10:19:05+00:00,"دارم از بیمار رگ میگیرم
میپرسه پسرم شما باد معده و اینا پیشتون عادیه ؟
گفتم آره چطور
گفت خدا رو شکر و گوزید :))))))))))
^پُل گاٰسکوئینٖ^
@sut_tw"
129485,2025-12-28T10:44:09+00:00,"وقتی تازه بدنیا اومدی و بابات به جای اینکه بگه این بی‌پدر باز بیدار شد میگه گود مورنیگ دارلینگ.
-خلافکار-
@sut_tw"
129488,2025-12-28T11:01:09+00:00,"با غذا دادن به اساتید اکوسیستم اکادمیا را بهم نریزید
^پل خواجو^
@sut_tw"
129497,2025-12-28T11:31:33+00:00,"۹۰ درصد دلتنگیا از رو بیکاریه
^Amirhosein^
@sut_tw"
129503,2025-12-28T12:12:10+00:00,"داداشمون دلش دریاست:))) 
^امیر حسین^
@sut_tw"
129506,2025-12-28T12:29:02+00:00,"اگر دنبال «مسیر» واقعی برای توسعه هستی، اینجا شروعشه.
آکادمی پرورش مدیران کسب‌وکار آینده فدک از میان دانشجویان و فارغ‌التحصیلان دانشگاه‌های برتر، برای ورود به برنامه هوشمند آموزشی ۳ ساله جذب می‌کند.
اهل چالشی؟ اگر در این رقابت برگزیده بشی، تو مسیر توسعه کنارتیم.
ارسال درخواست : از طریق جایگاه‌های شغلی کارآموزی و کارشناسی به نشانی ذیل
B2n.ir/tw-co"
